train_losses,valid_losses,train_metric,valid_metric,time
1.2401721141277215,1.29209965467453,0.5162877990649297,0.38645619750022886,38.0
1.030074377854665,1.1679026126861571,0.6627804484122839,0.520980617403984,38.0
0.9030781938479497,1.1103592753410338,0.7297536929448446,0.5538592875003815,38.0
0.8099602078780149,1.083909797668457,0.7711460070732312,0.5649590134620667,38.0
0.739921585107461,1.0562587976455688,0.8010956660295144,0.5839352786540986,38.0
0.6831561892460554,1.0481197714805603,0.8218967746465634,0.5866717875003815,38.0
0.6374566341057802,1.030041640996933,0.8357833409920717,0.5907402634620667,38.0
0.5995652385247059,1.0258700013160706,0.8477154756203676,0.5925311625003815,38.0
0.5650330659670707,1.0051169872283936,0.8601144445248139,0.6042456448078155,38.0
0.537929410353685,1.0011394262313842,0.8638769861979362,0.608079320192337,38.0
0.5105111339153388,1.014500242471695,0.8737135942165668,0.5958162546157837,38.0
0.490850676328708,0.9915771603584289,0.8792676971508906,0.6088605701923371,38.0
0.4692273437976837,0.9934620022773742,0.8834970731001633,0.6101904034614563,38.0
0.4498153328895569,1.0002358973026275,0.8880835420046097,0.6051912546157837,38.0
0.4337411989004184,0.9959897458553314,0.8943370259725131,0.6024504780769349,38.0
0.4197114438582689,1.001442128419876,0.8969978048251226,0.6047963619232177,38.0
0.40448816006000227,0.9810069143772125,0.9030849352861062,0.6106536030769348,38.0
0.39211875658768874,0.984591007232666,0.9047650159933628,0.6118254780769348,38.0
0.3831875156133603,0.9866627514362335,0.9087278781793057,0.6139365613460541,38.0
0.3695791753438803,0.9876422643661499,0.9132255086532006,0.6117507696151734,38.0
0.3616121250849504,0.9832634031772614,0.912445129492344,0.6124509036540985,38.0
0.3520609889274988,1.00801123380661,0.9143821413700397,0.6041688024997711,38.0
0.3423898074871454,0.9810455560684204,0.9161188342632391,0.6160476446151734,39.0
0.3326158913282248,0.9931868493556977,0.9212365868764046,0.6069031774997711,38.0
0.3268522505576794,0.9865141808986664,0.9213384894224314,0.6161223530769349,38.0
0.32122699037576335,0.9947954416275024,0.9221719961899978,0.6103419542312623,38.0
0.3103556976868556,0.9900426506996155,0.9261444394405072,0.6139344274997711,38.0
0.30554306277861965,0.9991289138793945,0.9285613497098287,0.6133837103843689,38.0
0.29849189940171367,1.0060912311077117,0.9293948580057193,0.6063609957695008,38.0
0.2936290357357416,1.0210344612598419,0.9293286647552099,0.6055007696151733,38.0
