train_losses,valid_losses,train_metric,valid_metric,time
2.486334716832196,1.003686785697937,0.5154755005130062,0.800000011920929,23.0
0.8622219871591639,0.6119992733001709,0.838088349059776,0.8960000276565552,23.0
0.4627482846931175,0.41922521591186523,0.9139965927159345,0.9259999990463257,23.0
0.28858501381344265,0.3337152600288391,0.9488249089982774,0.9279999732971191,23.0
0.19289665034523718,0.30924636125564575,0.9711210771843239,0.9399999976158142,23.0
0.12478459516057262,0.2974076271057129,0.9848202798101637,0.9200000166893005,23.0
0.09219181454843944,0.26741647720336914,0.9904851471936261,0.9240000247955322,23.0
0.06441306874707893,0.2423047572374344,0.9930169758973298,0.9359999895095825,22.0
0.05106547792200689,0.2277381271123886,0.9955150462962963,0.9399999976158142,23.0
0.039907182118407,0.21382242441177368,0.9971788194444444,0.9419999718666077,23.0
0.03146269144835295,0.2425605207681656,0.9974070853657193,0.9340000152587891,23.0
0.02673514056260939,0.2219129502773285,0.9976240992546082,0.9419999718666077,23.0
0.022185014181390957,0.23751585185527802,0.9985532407407407,0.9340000152587891,23.0
0.01951242538375987,0.24739864468574524,0.9989149305555556,0.9340000152587891,23.0
0.017444198399230285,0.24269595742225647,0.9981192129629629,0.9440000057220459,23.0
0.013590517971250746,0.21307051181793213,0.9994212962962963,0.9279999732971191,23.0
0.012225804246824097,0.20905478298664093,0.9994212962962963,0.9340000152587891,23.0
0.011706058970756002,0.2337520718574524,0.9989872685185185,0.9340000152587891,23.0
0.010805165757321648,0.20622293651103973,0.9993489583333334,0.949999988079071,22.0
0.009041164139354671,0.21964235603809357,0.9993489583333334,0.9279999732971191,22.0
0.008735345486827471,0.21201421320438385,0.9992042824074074,0.9359999895095825,22.0
0.008823110946212654,0.20648197829723358,0.9994212962962963,0.9359999895095825,22.0
0.007322743138367379,0.2401825487613678,0.9997106481481481,0.9160000085830688,22.0
0.0061558726657595896,0.19264386594295502,0.9998553240740741,0.9520000219345093,23.0
0.0059372497532792666,0.24490207433700562,0.9995659722222222,0.9300000071525574,23.0
0.005973457729581882,0.19841235876083374,0.9995659722222222,0.9440000057220459,23.0
0.00477227873030912,0.21198706328868866,0.9996383101851852,0.9419999718666077,22.0
0.003992578187198551,0.18671834468841553,0.9998553240740741,0.9459999799728394,23.0
0.004080699420430594,0.19430486857891083,0.9995048862916452,0.9399999976158142,23.0
0.009367012875844483,0.2712475061416626,0.9984809027777778,0.9359999895095825,23.0
